ED/ES,Vendor,Centre,Dice LV,Jaccard LV,Hausdorff LV,ASSD LV,Dice MYO,Jaccard MYO,Hausdorff MYO,ASSD MYO,Dice RV,Jaccard RV,Hausdorff RV,ASSD RV
ES,A,1,0.8550543768942771,0.746807848022423,35.12992049294752,2.9833579624697752,0.7310602338606662,0.5761189406845284,31.572353918043703,2.8887107672060632,0.6526661481289431,0.4844130853110968,35.31124922952305,6.268932221246034
ES,B,3,0.9458383803426198,0.897242284963887,10.0,0.42566962351247495,0.8399203866932045,0.7240196078431372,12.975169633286926,0.9515994355897209,0.794106090373281,0.6585206907787553,31.391778920056662,2.7202653530641108
ED,A,6,0.7947750896881611,0.6594413066707373,46.22769732530488,5.933185017014757,0.6143754361479414,0.443392425463336,47.38143096192854,4.122669826360195,0.7164943899637777,0.5582323788546255,41.13696634415329,5.411009370500422
ED,D,5,0.8987848251333729,0.8161754810927196,20.0,1.0396556583495251,0.6139251422986259,0.4429235108677617,19.53471262671834,1.92381103753945,0.34073309241094474,0.20535158680771626,28.560554304078497,5.789342126981692
ED,D,5,0.9310501591150174,0.8709951800396938,6.559449001672992,0.5760956023551622,0.8108715184186882,0.6819040423120514,10.493991235386297,0.6459886721788324,0.8587936619101812,0.7525314513654495,14.625092667880766,2.179903099682196
ES,B,2,0.9336765596608116,0.8756035217267821,10.0,0.5388387825803426,0.8090797114200247,0.6793735224586288,23.492117408786125,2.3251975295561778,0.8652414124429498,0.7624894157493649,22.56885681311081,1.2105655495579992
ED,A,1,0.8573559322033898,0.7503263320280052,35.66181298519105,4.382553326849473,0.7479789103690685,0.5974171813587872,27.74939319023513,2.189775612990135,0.8647256674374606,0.7616887325247662,21.234987018146786,2.1555481596662496
ES,C,4,0.4936170212765957,0.327683615819209,40.54711912350695,5.878942216013869,0.3308335118920077,0.19820282413350448,51.15449641450922,8.990066413087519,0.4863813229571984,0.3213367609254499,33.37265371073951,4.292977639028502
ES,A,6,0.8444044712835668,0.7307093617967534,11.070794963889822,3.5087265360844935,0.8310457193640762,0.7109309004899477,12.85225889978833,1.2415652754362956,0.935710111046172,0.8791872597473915,11.070794963889822,0.3741443285672915
ES,A,6,0.7377341659232828,0.5844522968197879,49.81214711292819,4.180504238963769,0.5121790651744569,0.3442477876106195,42.877733149036686,6.896546478974385,0.6394604876361751,0.4700050838840874,44.77722635447622,6.708243902751803
ES,B,2,0.8214183175423485,0.6969549330085262,11.062112934916058,3.376908285191764,0.8564941673843263,0.7490072572915241,12.763878271115495,1.2084577819930873,0.8616236162361623,0.7568881685575365,27.98378310317129,1.4960482580881758
ED,B,3,0.9289915608217544,0.8673989175421841,10.0,1.0284381570835104,0.7504716172183159,0.6006038978863574,24.635096549621874,0.9838093515681152,0.9275491154769312,0.8648872679045093,12.898073348998905,0.5736943130423549
ED,A,1,0.9038599674870516,0.8245843967717459,10.87429462716417,2.4381075449588905,0.7568865947769203,0.6088636737378721,17.632836966771098,1.425336834782843,0.8547620379173424,0.746361949409122,12.505287919263255,2.7958017996022004
ED,C,4,0.9803001876172608,0.9613615455381784,1.4844001531600952,0.13132470940957525,0.8953748006379585,0.8105688709211666,4.1985166456511696,0.27305935145473026,0.9113154869436688,0.8370794991703122,11.342166921715787,1.291915608850366
ES,C,4,0.6220858895705521,0.4514692787177204,12.802338772991057,2.8521860849568337,0.4148632956824659,0.2617208311134789,31.558779808647017,4.9487832863836365,0.7770177838577291,0.6353467561521253,11.342167686186778,2.0503965566368256
