ED/ES,Vendor,Centre,Dice LV,Jaccard LV,Hausdorff LV,ASSD LV,Dice MYO,Jaccard MYO,Hausdorff MYO,ASSD MYO,Dice RV,Jaccard RV,Hausdorff RV,ASSD RV
ED,C,4,0.8681975046456066,0.7670927641609007,20.10987037670005,3.1748842918386067,0.8251748251748252,0.7023809523809523,26.82348316462045,1.8144089139172412,0.9291532196096512,0.8676808266360505,10.704161929427487,0.4532728863345623
ES,D,5,0.9444020598893764,0.8946607642966844,10.205594621807712,0.5518974773655173,0.8712523920901553,0.7718752943392672,111.58473562070431,0.9442424531713399,0.9034894903146036,0.8239679258284783,12.509860013266316,0.5159274208082694
ES,B,2,0.9498135933467164,0.9044238121245222,3.8971730824816095,0.20899204677049293,0.8746151926116982,0.7771698950170043,12.001878115569069,0.7805078640560772,0.8717271727172717,0.7726209048361935,13.264229724115006,0.6333907465542307
ED,D,5,0.9382619135574436,0.8837037359196277,10.250003012251435,0.33422594323184285,0.8556898487550358,0.7477779060371695,16.591901658159493,0.5132246000756717,0.828473111797654,0.7071737918614125,11.959589243987002,1.81175957970508
ED,A,1,0.9719254292240808,0.9453841743119266,5.258095753323387,0.1657597681146295,0.8933059172949509,0.8071841453344344,9.710135181380393,0.3012796696874273,0.9508153429722056,0.9062421344072488,5.258095753323387,0.2628063792457019
ES,B,2,0.9273598342612974,0.8645581844519555,10.0,0.4032965415019321,0.9175896900034832,0.8477281503410993,12.763878271115495,0.3075000774135546,0.9451580020387359,0.8960185543100117,3.344423910394516,0.12903917446601193
ED,A,1,0.9397327515680391,0.8863168724279835,8.800000190734863,0.8896530218760121,0.8537185660781167,0.7447722180731889,11.426504424229384,0.7364702859045208,0.9041552104712852,0.8250759771008552,12.869537676233751,0.8108558233242735
ED,A,1,0.9655835020416568,0.9334571750812712,8.499999761581421,0.2493801305796029,0.8648846960167715,0.7619355434481485,9.600000381469727,0.3716589518375104,0.8573230995689202,0.7502760397497241,12.014181618093016,2.7233507234148893
ED,B,3,0.9582733812949641,0.9198895027624309,10.0,0.38888605532271137,0.8449460255152109,0.7315208156329651,15.09289280891418,0.6278627411653442,0.968458606989378,0.9388460933815438,4.694006241088026,0.147598833387538
ES,A,1,0.9445129469790382,0.8948598130841121,4.2499998807907104,0.2880151991270057,0.8817398440705786,0.7884925876999853,9.703964826066203,0.6795202232290539,0.769546027742749,0.6254163464002049,15.960027565582767,3.5446623900373178
ED,D,5,0.9450867052023122,0.8958904109589041,10.0,0.323805636754591,0.8410026984803295,0.7256295570124379,17.117539784688795,0.5589912479269833,0.6961866018906026,0.5339618406285073,19.469815523853512,4.1334131062161426
ED,C,4,0.9770510080832482,0.9551316984559493,2.0992583228255848,0.1573241699882022,0.8865485878410723,0.7962166809974205,4.694085216905014,0.2993811196420317,0.90859817689086,0.8325056433408577,11.342166921715787,1.3589914602843192
ES,D,5,0.7572522918498054,0.6093371059013742,12.50283965672174,2.5531335612638357,0.7362296353762606,0.5825659914057704,12.703682979075685,2.094163242116101,0.6750576606260297,0.5094996518452203,27.579882217158104,3.0745401671944683
