ED/ES,Vendor,Centre,Dice LV,Jaccard LV,Hausdorff LV,ASSD LV,Dice RV,Jaccard RV,Hausdorff RV,ASSD RV,Dice MYO,Jaccard MYO,Hausdorff MYO,ASSD MYO
ES,D,5,0.7328187250996016,0.578306150520731,34.667784005139964,3.316060886400205,0.8531722442684317,0.743941049564316,20.0,3.4682486993532784,0.7561751273283757,0.6079434042062363,31.03562468299384,2.377075378785336
ED,B,2,0.9559478127398312,0.9156130549838284,4.443460976003387,0.14852425953416487,0.9745421556954129,0.9503483357292932,3.697183012962341,0.1393480183074872,0.8745641636193554,0.7770893153997279,10.0,0.3615718690281747
ED,D,5,0.6953989516598719,0.5330357142857143,19.469815523853512,4.170371388925118,0.9512740540222444,0.9070759216654508,6.058347427262173,0.2093521712372632,0.8705434406368986,0.7707631014403923,5.79132730734346,0.2897961255261217
ES,B,2,0.8279248505550811,0.7063752276867031,15.371621370315552,0.6724077192841993,0.8483849703361899,0.7366914710933028,6.367593417847691,0.5352854375936664,0.8252487562189055,0.7024880889359449,20.85554267548097,1.8220377454061056
ES,B,3,0.9293542404316304,0.8680314960629921,10.806413116900769,0.3395645215892721,0.9651865008880994,0.9327154136628903,2.96875,0.16726793168297438,0.9319838937860484,0.8726309353984104,10.0,0.2995441402556384
ES,C,4,0.8126418718351668,0.6844117647058824,12.45335616593267,1.280395109028735,0.9135190316464926,0.8408053691275168,8.397034977176585,0.5569934357608235,0.9112930059226724,0.8370415647921761,9.504797463089872,0.5430340250478571
ES,C,4,0.7570833333333333,0.6091183372443848,20.055010388709622,1.8756410268951025,0.9112600098055238,0.8369858901230861,7.568982868783742,0.5085960252760113,0.8885732042972565,0.7994887362198434,10.0,0.5436864462131947
ED,B,2,0.9279580152671756,0.8655985758789497,8.36105977598629,0.2799409481215818,0.9287538094061444,0.8669844687067507,4.263320695206981,0.3697238328147048,0.8354735152487961,0.7174362508614749,10.275825302437234,0.5083181755028894
ED,A,1,0.8764987535119306,0.7801493378416455,63.917467849000616,2.2049878715322544,0.955048098534568,0.9139636926783102,47.749913119092255,1.5539325707148923,0.8653239678899083,0.7626176489166825,58.747718570646285,3.0716630785587253
ED,B,3,0.9017953045880006,0.8211541148525918,10.097117084355368,2.3157816184938844,0.9716421548712116,0.9448482932996208,4.4178879741128005,0.1854790594606009,0.8666029926774912,0.7646067415730337,14.8006141198953,0.3495711062401574
ED,D,5,0.8954439690760341,0.8106822506115793,15.42578438023955,0.5684916231745339,0.8391930414443388,0.7229393615011649,10.125773118873726,3.154992736316561,0.7317524682651622,0.5769792173489956,11.772936624586801,1.345583021054439
ES,D,5,0.8763058030955528,0.7798436669955225,53.06660427353379,1.2303723760560137,0.9195849546044098,0.851140456182473,10.0,0.6908219302041664,0.8586313193588163,0.7522821800896667,15.750554039731586,0.7192187202395286
ES,B,3,0.9537219562564536,0.9115377713978108,4.1911765336990365,0.18222096469463608,0.9745355686452196,0.9503358077059032,3.1239185450176605,0.16299591529944074,0.9301509301509302,0.8694225721784777,13.417254190870171,0.3176837880124023
ED,B,2,0.9616245602814198,0.9260856174930704,2.643999254493388,0.1603763681035311,0.9799702528507684,0.960727131330806,2.643999254493388,0.10707024838161833,0.9000235238767349,0.8182207014542344,11.312070024139985,0.2539536194963685
ES,A,1,0.7966391553275336,0.662011863568957,17.171527786755597,3.3003130444760203,0.9328358208955224,0.8741258741258742,4.47989322624758,0.3634932190131373,0.8844299001033413,0.7928053111008183,11.502124831996484,0.6752545549993799
ES,C,4,0.8060775689724109,0.6751507032819826,20.703738613960144,3.2606736829926994,0.9439480097481722,0.8938461538461538,3.319220981077447,0.27534508111036,0.9102507046432281,0.8352845085760958,3.319220981077447,0.3238736206445606
ED,D,5,0.8096579867858531,0.6801893722961391,53.75969070883849,2.5799402098208803,0.96617878593504,0.934570477748322,3.977499902248383,0.20747812492814188,0.8156478175131908,0.6886868868688687,6.559860889141602,0.5152994288279418
